COMMENT_ID,AUTHOR,DATE,CONTENT,label,Predicted_Prob,Predicted_Label
z12lg1vizrmsgxm3q23oij4aqrjxjdd1p,Holly,2014-11-06T13:41:30,Follow me on Twitter @mscalifornia95﻿,1,0.7955770918517461,0
z13qyxk5tzq1e5asx22xjt3wdq3ns32f5,Ameenk Chanel,2014-11-14T11:50:02,Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1﻿,1,0.7791619953242331,0
z12ig3jrnlfvsthaa04chjkrply5zligbdg,Aaa Aaa,2014-11-12T05:46:27,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,1,0.8074380947920146,1
z130i3yaexrmtxyic04ccnk5hwvfs33as0c,Alucard Hellsing,2014-11-07T22:21:29,What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,0,0.4860092918617837,0
z12yinh5ks2oinqzn04cctkgvvrohbrazvo0k,Rancy Gaming,2014-11-06T09:41:07,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1,0.7839148279371314,0
z12qfjubxk2iftnwk04chp5amsmmuvpwh5w,FaceTheFacts,2014-11-08T07:07:44,You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,0,0.3956458977615516,0
z13xwborhli2vdrab04chblgxvjattz4ezs0k,Luna Gamer Potter,2014-11-09T02:42:40, I hate this song! ﻿,0,0.17614204364637107,0
z13wj1pgwlfjjjn4d04cilo5nwnhsbdavzg0k,Tee Tee,2014-11-07T20:16:51,Loool nice song funny how no one understands (me) and we love it﻿,0,0.44164311496625447,0
z13nw3lhgt2nf5wwe04cdlx5iyaydznrve0,Wert Walleet,2014-11-08T09:15:22,"This song is great there are 2,127,315,950 views wow﻿",0,0.17106413095660902,0
z122dfb5htjxgpbot04cdj1aikatybbjsb0,Kitts Hausman,2014-11-07T04:48:01,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0,0.19735737167816858,0
z12tcdxa5k3bsvtqh04ccnaqusj1vvfju3s,Salim Tayara,2014-11-02T14:33:30,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1,0.49229489511469016,0
z12jc1uququpzbsoq04cg15poyfsxpvoojw,pro stomper,2014-11-05T15:27:34,guys please subscribe me to help my channel grow please guys﻿,1,0.8160553963671208,1
z13udh04hqjeyney404cgloh0vbegbmgvq40k,fad lad,2014-11-06T18:24:19,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1,0.777945361424829,0
z12kuncrps35wp1l0220s3t4ym32dtpin04,Aleksaivan Neidert,2014-11-05T15:35:49,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0,0.2072452288547247,0
z12nejhigtr0tdvy504cgfcrhzvycxzin0k,Detroit Red Wings,2014-11-06T20:55:09,http://www.gofundme.com/gvr7xg﻿,1,0.8442827765193796,1
z13ce52jzwfitrkup23din4ojputijen3,Eugene Kalinin,2014-01-19T19:21:04,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,0.541079387805927,0
z13uhbtohvm4yxq0d22lvbyx3ratct1ju04,Navin Surya,2014-11-08T11:42:57,Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,1,0.7847259394063494,0
